track_uri,artist_uri,album_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Track_release_date,Track_pop,Artist_pop,Artist_genres
4LO5DjN6Tp3UkUvgESuy2t,2gXOOKY8mmJG6iwHrTq9gp,5jqOPaSXkGQv3IH62dHoUE,0.65,0.482,4.0,-8.664,1.0,0.0281,0.293,0.0,0.0811,0.517,107.0,269185.0,4.0,40,13.0,11.0,classic_pakistani_pop modern_bollywood pakistani_pop
5iCY0TXNImK4hyKfcplQsg,4gdMJYnopf2nEUcanAwstx,4ysOhipyMXKstywus51VXS,0.475,0.124,2.0,-9.46,1.0,0.0444,0.926,0.0,0.0972,0.19,94.44,207310.0,4.0,40,15.0,13.0,hindi_indie indian_indie indian_singer-songwriter
